TORCHFORT::WANDB: model: critic_0, step: 24, train_loss: 0.089436
TORCHFORT::WANDB: model: critic_0, step: 24, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 24, train_loss: 0.540559
TORCHFORT::WANDB: model: actor, step: 24, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 24, train_loss: -2.50154
TORCHFORT::WANDB: model: alpha, step: 24, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 25, train_loss: 0.0879778
TORCHFORT::WANDB: model: critic_0, step: 25, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 25, train_loss: 0.524621
TORCHFORT::WANDB: model: actor, step: 25, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 25, train_loss: -2.50397
TORCHFORT::WANDB: model: alpha, step: 25, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 26, train_loss: 0.0840428
TORCHFORT::WANDB: model: critic_0, step: 26, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 26, train_loss: 0.518575
TORCHFORT::WANDB: model: actor, step: 26, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 26, train_loss: -2.50294
TORCHFORT::WANDB: model: alpha, step: 26, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 27, train_loss: 0.087437
TORCHFORT::WANDB: model: critic_0, step: 27, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 27, train_loss: 0.509127
TORCHFORT::WANDB: model: actor, step: 27, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 27, train_loss: -2.49563
TORCHFORT::WANDB: model: alpha, step: 27, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 28, train_loss: 0.0881006
TORCHFORT::WANDB: model: critic_0, step: 28, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 28, train_loss: 0.511493
TORCHFORT::WANDB: model: actor, step: 28, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 28, train_loss: -2.47809
TORCHFORT::WANDB: model: alpha, step: 28, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 29, train_loss: 0.0886561
TORCHFORT::WANDB: model: critic_0, step: 29, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 29, train_loss: 0.529649
TORCHFORT::WANDB: model: actor, step: 29, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 29, train_loss: -2.45418
TORCHFORT::WANDB: model: alpha, step: 29, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 30, train_loss: 0.0811943
TORCHFORT::WANDB: model: critic_0, step: 30, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 30, train_loss: 0.536339
TORCHFORT::WANDB: model: actor, step: 30, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 30, train_loss: -2.45305
TORCHFORT::WANDB: model: alpha, step: 30, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 31, train_loss: 0.0819673
TORCHFORT::WANDB: model: critic_0, step: 31, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 31, train_loss: 0.540897
TORCHFORT::WANDB: model: actor, step: 31, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 31, train_loss: -2.46038
TORCHFORT::WANDB: model: alpha, step: 31, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 32, train_loss: 0.0849189
TORCHFORT::WANDB: model: critic_0, step: 32, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 32, train_loss: 0.537752
TORCHFORT::WANDB: model: actor, step: 32, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 32, train_loss: -2.46121
TORCHFORT::WANDB: model: alpha, step: 32, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 33, train_loss: 0.0838559
TORCHFORT::WANDB: model: critic_0, step: 33, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 33, train_loss: 0.529103
TORCHFORT::WANDB: model: actor, step: 33, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 33, train_loss: -2.46578
TORCHFORT::WANDB: model: alpha, step: 33, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 34, train_loss: 0.0822749
TORCHFORT::WANDB: model: critic_0, step: 34, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 34, train_loss: 0.51267
TORCHFORT::WANDB: model: actor, step: 34, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 34, train_loss: -2.4923
TORCHFORT::WANDB: model: alpha, step: 34, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 35, train_loss: 0.0854081
TORCHFORT::WANDB: model: critic_0, step: 35, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 35, train_loss: 0.506493
TORCHFORT::WANDB: model: actor, step: 35, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 35, train_loss: -2.49798
TORCHFORT::WANDB: model: alpha, step: 35, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 36, train_loss: 0.0858733
TORCHFORT::WANDB: model: critic_0, step: 36, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 36, train_loss: 0.495725
TORCHFORT::WANDB: model: actor, step: 36, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 36, train_loss: -2.5007
TORCHFORT::WANDB: model: alpha, step: 36, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 37, train_loss: 0.0812279
TORCHFORT::WANDB: model: critic_0, step: 37, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 37, train_loss: 0.49218
TORCHFORT::WANDB: model: actor, step: 37, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 37, train_loss: -2.50941
TORCHFORT::WANDB: model: alpha, step: 37, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 38, train_loss: 0.0885643
TORCHFORT::WANDB: model: critic_0, step: 38, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 38, train_loss: 0.502328
TORCHFORT::WANDB: model: actor, step: 38, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 38, train_loss: -2.52233
TORCHFORT::WANDB: model: alpha, step: 38, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 39, train_loss: 0.0814425
TORCHFORT::WANDB: model: critic_0, step: 39, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 39, train_loss: 0.519461
TORCHFORT::WANDB: model: actor, step: 39, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 39, train_loss: -2.49856
TORCHFORT::WANDB: model: alpha, step: 39, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 40, train_loss: 0.0861346
TORCHFORT::WANDB: model: critic_0, step: 40, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 40, train_loss: 0.522687
TORCHFORT::WANDB: model: actor, step: 40, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 40, train_loss: -2.49164
TORCHFORT::WANDB: model: alpha, step: 40, train_lr: 0.0001
TORCHFORT::WANDB: model: rlwm, step: 12, reward_sum: 1811.7
TORCHFORT::WANDB: model: rlwm, step: 12, reward_sum: 1811.7
TORCHFORT::WANDB: model: rlwm, step: 12, reward_sum: 1811.7
TORCHFORT::WANDB: model: rlwm, step: 12, reward_sum: 1811.7
TORCHFORT::WANDB: model: critic_0, step: 41, train_loss: 0.0822283
TORCHFORT::WANDB: model: critic_0, step: 41, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 41, train_loss: 0.555036
TORCHFORT::WANDB: model: actor, step: 41, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 41, train_loss: -2.48598
TORCHFORT::WANDB: model: alpha, step: 41, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 42, train_loss: 0.0922063
TORCHFORT::WANDB: model: critic_0, step: 42, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 42, train_loss: 0.543828
TORCHFORT::WANDB: model: actor, step: 42, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 42, train_loss: -2.49056
TORCHFORT::WANDB: model: alpha, step: 42, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 43, train_loss: 0.0843427
TORCHFORT::WANDB: model: critic_0, step: 43, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 43, train_loss: 0.52549
TORCHFORT::WANDB: model: actor, step: 43, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 43, train_loss: -2.50124
TORCHFORT::WANDB: model: alpha, step: 43, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 44, train_loss: 0.0911202
TORCHFORT::WANDB: model: critic_0, step: 44, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 44, train_loss: 0.51715
TORCHFORT::WANDB: model: actor, step: 44, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 44, train_loss: -2.52897
TORCHFORT::WANDB: model: alpha, step: 44, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 45, train_loss: 0.088576
