TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
TORCHFORT::WANDB: model: rlwm, step: 11, reward_sum: 1635.18
TORCHFORT::WANDB: model: critic_0, step: 21, train_loss: 0.213631
TORCHFORT::WANDB: model: critic_0, step: 21, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 21, train_loss: -1.17214
TORCHFORT::WANDB: model: actor, step: 21, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 21, train_loss: -2.67846
TORCHFORT::WANDB: model: alpha, step: 21, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 22, train_loss: 0.221201
TORCHFORT::WANDB: model: critic_0, step: 22, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 22, train_loss: -1.17345
TORCHFORT::WANDB: model: actor, step: 22, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 22, train_loss: -2.68116
TORCHFORT::WANDB: model: alpha, step: 22, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 23, train_loss: 0.216036
TORCHFORT::WANDB: model: critic_0, step: 23, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 23, train_loss: -1.16798
TORCHFORT::WANDB: model: actor, step: 23, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 23, train_loss: -2.67289
TORCHFORT::WANDB: model: alpha, step: 23, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 24, train_loss: 0.210362
TORCHFORT::WANDB: model: critic_0, step: 24, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 24, train_loss: -1.17983
TORCHFORT::WANDB: model: actor, step: 24, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 24, train_loss: -2.67226
TORCHFORT::WANDB: model: alpha, step: 24, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 25, train_loss: 0.213858
TORCHFORT::WANDB: model: critic_0, step: 25, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 25, train_loss: -1.18215
TORCHFORT::WANDB: model: actor, step: 25, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 25, train_loss: -2.67343
